tag,hostname,category,location,rack,uPosition,status,purchaseCost,purchaseDate,salvageValue,usefulLifeYears
AST-BTM-ACS-093,N-BTM-L4-04-031,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-094,N-BTM-L4-04-032,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-095,N-BTM-L4-04-033,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-096,N-BTM-L4-04-034,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-097,N-BTM-L4-04-035,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-098,N-BTM-L4-04-036,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-099,N-BTM-L4-04-037,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-100,N-BTM-L4-04-038,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-101,N-BTM-L4-04-039,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-102,N-BTM-L4-04-040,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-103,N-BTM-L4-05-071,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-104,N-BTM-L4-05-072,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-105,N-BTM-L4-05-073,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-106,N-BTM-L4-05-074,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-107,N-BTM-L4-05-075,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-108,N-BTM-L4-05-076,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-109,N-BTM-L4-05-077,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-110,N-BTM-L4-05-078,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-111,N-BTM-L4-05-079,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-112,N-BTM-L4-05-080,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-113,N-BTM-L4-06-061,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-114,N-BTM-L4-06-062,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-115,N-BTM-L4-06-063,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-116,N-BTM-L4-06-064,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-117,N-BTM-L4-06-065,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-118,N-BTM-L4-06-066,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-119,N-BTM-L4-06-067,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-120,N-BTM-L4-06-068,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-121,N-BTM-L4-06-069,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-122,N-BTM-L4-06-070,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-123,N-BTM-L4-07-051,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-124,N-BTM-L4-07-052,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-125,N-BTM-L4-07-053,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-126,N-BTM-L4-07-054,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-127,N-BTM-L4-07-055,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-128,N-BTM-L4-07-056,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-129,N-BTM-L4-07-057,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-130,N-BTM-L4-07-058,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-131,N-BTM-L4-07-059,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-132,N-BTM-L4-07-060,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-133,N-BTM-L4-08-041,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-134,N-BTM-L4-08-042,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-135,N-BTM-L4-08-043,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-136,N-BTM-L4-08-044,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-137,N-BTM-L4-08-045,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-138,N-BTM-L4-08-046,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-139,N-BTM-L4-08-047,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-140,N-BTM-L4-08-048,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-141,N-BTM-L4-08-049,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-ACS-142,N-BTM-L4-08-050,AC Split,neuCentrIX Batam,IT Hall Lt.4,-,Active,,2023-01-01,,10
AST-BTM-PAN-001,Panel Junction,Panel,neuCentrIX Batam,Genset,-,Active,,2016-01-01,,10
AST-BTM-PAN-002,Panel MDP,Panel,neuCentrIX Batam,Utility Room,-,Active,,2016-01-01,,10
AST-BTM-PAN-003,Panel UPS,Panel,neuCentrIX Batam,Utility Room,-,Active,,2016-01-01,,10
AST-BTM-PAN-004,Panel PAC,Panel,neuCentrIX Batam,Utility Room,-,Active,,2016-01-01,,10
AST-BTM-PAN-005,Panel Battery,Panel,neuCentrIX Batam,Utility Room,-,Active,,2016-01-01,,10
AST-BTM-PAN-006,Panel PDU,Panel,neuCentrIX Batam,IT Hall,-,Active,,,,10
AST-BTM-PAN-007,Panel Penerangan,Panel,neuCentrIX Batam,Koridor Staging Room,-,Active,,2016-01-01,,10
AST-BTM-PC-001,PC,PC Vam,neuCentrIX Batam,Lobby,-,Active,,2022-01-01,,10
AST-BTM-PC-002,Webcam,PC Vam,neuCentrIX Batam,Lobby,-,Active,,2022-01-01,,10
AST-BTM-KEY-001,Box Kunci,Key Box,neuCentrIX Batam,NOC Room,-,Active,,2022-01-01,,10
AST-BTM-EMX-001,CONTROLLER RARITANS,EMX,neuCentrIX Batam,IT HALL,-,Active,,2022-01-01,,10
AST-BTM-EMX-002,TEMP& HUM SENSOR,EMX,neuCentrIX Batam,"IT Hall,UPS, MMR, PAC, NER, & Battery Room",-,Active,,2022-01-01,,10
AST-BTM-EMX-003,7M ROPE WATER LEAKAGE,EMX,neuCentrIX Batam,"IT Hall,UPS, MMR, PAC, NER, & Battery Room",-,Active,,2022-01-01,,10
AST-BTM-EMX-004,DUAL CONTAC CLOSURE,EMX,neuCentrIX Batam,"IT Hall,UPS, MMR, PAC, NER, & Battery Room",-,Active,,2022-01-01,,10
AST-BTM-CCTV-005,NVR 1 32 Chanel,CCTV Camera,neuCentrIX Batam,R. NOC,-,Active,,2022-01-01,,10
AST-BTM-CCTV-006,NVR 2 32 Chanel,CCTV Camera,neuCentrIX Batam,R. NOC,-,Active,,2022-01-01,,10
AST-BTM-CCTV-007,SWITCH 1,CCTV Camera,neuCentrIX Batam,R. NOC,-,Active,,2022-01-01,,10
AST-BTM-CCTV-008,SWITCH 2,CCTV Camera,neuCentrIX Batam,R. NOC,-,Active,,2022-01-01,,10
AST-BTM-CCTV-009,SWITCH 3,CCTV Camera,neuCentrIX Batam,R. NOC,-,Active,,2022-01-01,,10
AST-BTM-CCTV-010,MONITOR PC,CCTV Camera,neuCentrIX Batam,R. NOC,-,Active,,2022-01-01,,10
AST-BTM-CCTV-011,"TV SHARP 60""",CCTV Camera,neuCentrIX Batam,R. NOC,-,Active,,2022-01-01,,10
AST-BTM-CCTV-012,"TV SHARP 60""",CCTV Camera,neuCentrIX Batam,R. NOC,-,Active,,2022-01-01,,10
AST-BTM-CCTV-013,PC CLIENT,CCTV Camera,neuCentrIX Batam,R. NOC,-,Active,,2022-01-01,,10
AST-BTM-CCTV-014,UPS,CCTV Camera,neuCentrIX Batam,R. NOC,-,Active,,2022-01-01,,10
AST-BTM-CCTV-015,NVR 1 16 Chanel,CCTV Camera,neuCentrIX Batam,R. NOC,-,Active,,2022-01-01,,10
AST-BTM-CCTV-016,NVR 2 16 Chanel,CCTV Camera,neuCentrIX Batam,R. NOC,-,Active,,2022-01-01,,10
AST-BTM-CCTV-017,"TV SHARP 60""",CCTV Camera,neuCentrIX Batam,R. NOC,-,Active,,2022-01-01,,10
AST-BTM-CCTV-018,"TV SHARP 60""",CCTV Camera,neuCentrIX Batam,R. NOC,-,Active,,2022-01-01,,10
AST-BTM-PAC-005,PAC 1,Cooling PAC,neuCentrIX Batam,IT Hall,-,Active,,2022-01-01,,10
AST-BTM-PAC-006,PAC 2,Cooling PAC,neuCentrIX Batam,IT Hall,-,Active,,2022-01-01,,10
AST-BTM-PAC-007,PAC 3,Cooling PAC,neuCentrIX Batam,IT Hall,-,Active,,2022-01-01,,10
AST-BTM-PAC-008,PAC 4,Cooling PAC,neuCentrIX Batam,IT Hall,-,Active,,2022-01-01,,10
AST-BTM-ACS-143,AC Standing 1,AC Split,neuCentrIX Batam,Utility 1,-,Active,,2023-01-01,,10
AST-BTM-ACS-144,AC Standing 2,AC Split,neuCentrIX Batam,Utility 1,-,Active,,2023-01-01,,10
AST-BTM-ACS-145,AC Standing 3,AC Split,neuCentrIX Batam,Batrrey 2,-,Active,,2023-01-01,,10
AST-BTM-ACS-146,AC Standing 4,AC Split,neuCentrIX Batam,Batrrey 2,-,Active,,2023-01-01,,10
AST-BTM-ACS-147,AC Standing 5,AC Split,neuCentrIX Batam,Koridor lt4,-,Active,,2023-01-01,,10
AST-BTM-ACS-148,AC Standing 6,AC Split,neuCentrIX Batam,MMR 1,-,Active,,2023-01-01,,10
AST-BTM-ACS-149,AC Standing 7,AC Split,neuCentrIX Batam,MMR 2,-,Active,,2023-01-01,,10
AST-BTM-ACS-150,AC Split 1,AC Split,neuCentrIX Batam,AC Split Utility 1,-,Active,,2023-01-01,,10
AST-BTM-ACS-151,AC Split 2,AC Split,neuCentrIX Batam,AC Split Utility 2,-,Active,,2023-01-01,,10
AST-BTM-NET-003,Spine-1,NETWORK Lantai 3,neuCentrIX Batam,MMR,-,Active,,2023-01-01,,10
AST-BTM-NET-004,Spine-2,NETWORK Lantai 3,neuCentrIX Batam,MMR,-,Active,,2023-01-01,,10
AST-BTM-NET-005,Leaf-1,NETWORK Lantai 3,neuCentrIX Batam,MMR,-,Active,,2023-01-01,,10
AST-BTM-NET-006,Leaf-2,NETWORK Lantai 3,neuCentrIX Batam,MMR,-,Active,,2023-01-01,,10
AST-BTM-NET-007,Leaf-3,NETWORK Lantai 3,neuCentrIX Batam,MMR,-,Active,,2023-01-01,,10
AST-BTM-NET-008,Leaf-4,NETWORK Lantai 3,neuCentrIX Batam,MMR,-,Active,,2023-01-01,,10
AST-BTM-NET-009,Spine-1,NETWORK Lantai 4,neuCentrIX Batam,MMR 1,-,Active,,2023-01-01,,10
AST-BTM-NET-010,Spine-2,NETWORK Lantai 4,neuCentrIX Batam,MMR 1,-,Active,,2023-01-01,,10
AST-BTM-NET-011,Leaf-1,NETWORK Lantai 4,neuCentrIX Batam,MMR 1,-,Active,,2023-01-01,,10
AST-BTM-NET-012,Leaf-2,NETWORK Lantai 4,neuCentrIX Batam,MMR 1,-,Active,,2023-01-01,,10
AST-BTM-NET-013,Leaf-3,NETWORK Lantai 4,neuCentrIX Batam,MMR 1,-,Active,,2023-01-01,,10
AST-BTM-NET-014,Leaf-4,NETWORK Lantai 4,neuCentrIX Batam,MMR 1,-,Active,,2023-01-01,,10
AST-BTM-NET-015,Leaf-5,NETWORK Lantai 4,neuCentrIX Batam,MMR 1,-,Active,,2023-01-01,,10
AST-BTM-NET-016,Leaf-6,NETWORK Lantai 4,neuCentrIX Batam,MMR 1,-,Active,,2023-01-01,,10
AST-BTM-NET-017,Leaf-7,NETWORK Lantai 4,neuCentrIX Batam,MMR 1,-,Active,,2023-01-01,,10
AST-BTM-NET-018,Leaf-8,NETWORK Lantai 4,neuCentrIX Batam,MMR 2,-,Active,,2023-01-01,,10
AST-BTM-NET-019,Leaf-9,NETWORK Lantai 4,neuCentrIX Batam,MMR 2,-,Active,,2023-01-01,,10
AST-BTM-NET-020,Leaf-10,NETWORK Lantai 4,neuCentrIX Batam,MMR 2,-,Active,,2023-01-01,,10
AST-BTM-NET-021,Leaf-11,NETWORK Lantai 4,neuCentrIX Batam,MMR 2,-,Active,,2023-01-01,,10
AST-BTM-NET-022,Leaf-12,NETWORK Lantai 4,neuCentrIX Batam,MMR 2,-,Active,,2023-01-01,,10
AST-BTM-NET-023,Leaf-13,NETWORK Lantai 4,neuCentrIX Batam,MMR 2,-,Active,,2023-01-01,,10
AST-BTM-NET-024,Leaf-14,NETWORK Lantai 4,neuCentrIX Batam,MMR 2,-,Active,,2023-01-01,,10
AST-BTM-NET-025,Leaf-15,NETWORK Lantai 4,neuCentrIX Batam,MMR 2,-,Active,,2023-01-01,,10
AST-BTM-NET-026,Leaf-16,NETWORK Lantai 4,neuCentrIX Batam,MMR 2,-,Active,,2023-01-01,,10
AST-BTM-UPS-005,UPS A,UPS,neuCentrIX Batam,Utility Room,-,Active,,2023-01-01,,10
AST-BTM-UPS-006,UPS B,UPS,neuCentrIX Batam,Utility Room,-,Active,,2023-01-01,,10
AST-BTM-UPS-007,Battery Bank A,UPS,neuCentrIX Batam,R. Battrey 2,-,Active,,2023-01-01,,10
AST-BTM-UPS-008,Battery Bank B,UPS,neuCentrIX Batam,R. Battrey 2,-,Active,,2023-01-01,,10
